Chemical,logS,deltaD,deltaP,deltaH,deltaHDon,deltaHAcc,MWt,Density,MVol,Area,Ovality,LogKow,RI,DHfus,EdmiW,Parachor,RD,DCp,logEta,Conductivity,SurfTen,HeavyAtom,MCI,Distance,Tm,Ar-sp3,CSA,PSA
DtbC,0.953954067,16.47,0.86,4.54,4.2,2.1,220.3,0.901,244.5,296.02,1.566,5.36,1.513,19.82,0.463,568.7,73.42,460.8,0.947,147.2,33.4,16,7.032,13.61,345.78,-3,242.093,20.23
FBP,1.825756085,18.78,4.51,8.2,6.3,5.7,244.3,1.186,205.9,269.46,1.598,4.13,1.564,26.35,0.803,527.7,66.98,485.6,3.327,159.8,46,18,8.592,7.42,391.35,10,226.835,37.3
FRS,1.983988351,20.41,13.95,12.77,10.6,7.8,330.7,1.611,205.3,311.84,1.853,2.26,1.654,45.51,3.323,589.4,75.25,2921.7,4360.448,163.8,294.2,21,9.787,10.18,487.79,10,256.677,118.72
G4,1.553546011,18.14,4.92,7.14,0.2,6.2,264.3,1.15,229.7,309.74,1.708,2.49,1.539,25.74,0.823,579.4,71.93,507.3,2.486,154.3,42.4,19,9.062,8.9,396.75,2,255.952,61.83
GBC,1.374368072,20.57,16.75,9.18,10.9,6.3,494,1.359,363.5,514.11,2.088,2.99,1.568,65.7,-0.672,884.2,118.85,661.9,82.346,162.9,66.9,33,15.78,12.22,452.75,3,477.692,113.6
HPR,1.261229442,19.47,7.2,6.89,4,5.3,375.9,1.222,307.6,412.42,1.872,4.08,1.567,44.88,10.941,784.8,100.46,1051.4,12.813,168.9,51.9,26,12.46,6.83,427.95,4,335.071,40.54
IDM,1.628323336,20.69,6.49,6.83,3.3,5.6,357.8,1.296,276.2,365.49,1.782,4.49,1.605,43.27,-42.407,751.9,95.1,1146.6,44.284,177.2,99.7,25,11.918,4.68,437.45,12,298.891,66.84
LCP,1.514096868,17.68,0.28,5.05,0.1,1,536.8,0.894,600.2,768.75,2.235,15.14,1.57,27.42,-0.351,1379.7,196.98,2274.8,15.202,196.1,39.8,40,18.989,11.57,449.25,-14,688.517,0
MeY,0.820825591,19.62,4.39,4.87,0.6,4.7,225.3,1.092,206.3,272.79,1.616,4.61,1.613,6.1,0.572,508.1,71.82,412.4,1.728,156.2,44.3,17,8.254,7.4,390.63,10,234.415,27.96
MFA,1.110037608,19.91,5.27,9.23,7.3,5.2,241.3,1.203,200.6,282.17,1.703,4.14,1.625,25.64,0.707,523.3,70.89,548.4,6.42,171.4,54.6,18,8.592,5.01,508.65,10,230.09,49.33
NAPh,-1.397940009,19.7,3.06,5.45,2.7,4.6,128.2,1.025,125,157.42,1.302,3.34,1.63,14.42,0.503,313.8,44.49,195,0.199,146,43.1,10,4.966,7.17,355.28,10,141.691,0
NCD,1.874033337,21.69,13.42,10.67,10.2,7.2,327.1,1.534,213.3,297.64,1.724,3.81,1.653,44.4,2.226,616.4,78.09,1029.9,54.31,167.1,87.5,21,9.88,8.5,506.15,12,249.684,101.14
NFQ,1.487533308,20.46,13.29,6.11,4.1,4.4,158.1,1.318,120,166.11,1.412,2.18,1.639,27.94,0.804,299.6,43.16,193.6,0.187,121.5,34.2,12,5.788,9.75,400.45,6,150.562,34.14
NIF,1.89513723,18.5,5.63,7.39,1.2,7.4,346.3,1.229,281.8,386.58,1.86,1.95,1.555,35.07,0.383,729.8,90.41,926.5,9.338,165.2,43.7,25,11.828,8.15,450.95,1,292.229,116.44
NMS,1.479653249,20.57,14.19,9.21,4.8,5.8,308.3,1.421,217,305.25,1.749,2.75,1.636,23.93,0.907,614.8,77.82,713.7,16.698,172.3,78.5,21,9.849,9.81,426.55,11,256.343,107.21
NPhL,1.936730496,20.4,5.37,10.19,6.3,7,144.2,1.141,126.4,166.52,1.367,2.71,1.654,16.67,0.437,324.9,46.34,225.2,0.972,158.7,51.5,11,5.377,4.04,373.25,10,148.391,20.23
NXA,1.593940523,19.69,14.25,11.73,7.3,8.7,232.2,1.35,172,254.29,1.701,1.32,1.665,31.08,-0.065,533.7,63.85,344.2,1.952,144.3,49.3,17,8.041,10.83,507.45,7,216.454,69.97
OIV,1.506266622,21.13,4.04,4.47,3.8,4.3,379.5,1.157,328.1,431.33,1.875,8.12,1.6,22.35,0.267,797.9,112.27,1112.9,23.731,194.4,90.3,29,14.331,5.91,415.05,20,361.195,61.47
oPhPh,1.635148198,19.55,4.12,7.96,5.5,5.4,170.2,1.107,153.7,201.26,1.45,3.58,1.611,18.49,0.535,401.5,53.41,285.9,1.18,156.5,46.7,13,6.377,6.04,332.8,12,171.399,20.23
PBC,2.310991788,17.84,11.61,8.71,5.8,6.1,285.4,1.204,237,328.33,1.773,3.09,1.535,40.89,0.986,614.7,73.82,655.3,10.124,187.9,77.3,19,8.929,11.25,475.25,0,267.915,74.68
PhAzPh,1.456476932,20.26,6.36,8.67,6.5,5.7,198.2,1.171,169.3,228.46,1.544,3.41,1.619,12.95,0.598,428.6,59.36,338.9,2.063,161.6,53,15,7.343,4.58,430.64,12,195.177,44.95
PhTR,-0.430237882,20.35,1.35,4.76,0.9,3.2,178.2,1.068,166.9,201.78,1.377,4.59,1.561,23.27,0.496,416.2,54.05,268.7,0.738,153.6,53,14,6.949,7.43,374.35,14,181.619,0
